,Area Name,Occupational Code,Occupation,Naics Code,Industry,Year,Employment,Employment Relative Standard Error,Response Rate(%),Hourly wage; mean,Annual wage; mean,Wage Relative Standard Error,Hourly wage; 10th percentile,Hourly wage; 25th percentile,Hourly wage; median,Hourly wage; 75th percentile,Hourly wage; 90th percentile,Annual wage; 10th percentile,Annual wage; 25th percentile,Annual wage; median,Annual wage; 75th percentile,Annual wage; 90th percentile,NLP_Category
0,North Carolina,37-2019,"Building Cleaning Workers, All Other",0,"Cross-industry, private, federal, state, and local",2022,440,29.6,1,$18.97,"$39,460",11.9,$11.42,$14.36,$18.05,$25.01,$27.07,"$23,750","$29,870","$37,540","$52,010","$56,310",Entry level and Non-tech
1,North Carolina,41-9021,Real Estate Brokers,0,"Cross-industry, private, federal, state, and local",2022,"2,980",22.3,2,$42.55,"$88,510",9.3,$19.94,$25.75,$36.93,$49.83,$73.73,"$41,460","$53,560","$76,810","$103,650","$153,360",Entry level and Non-tech
2,North Carolina,47-2231,Solar Photovoltaic Installers,0,"Cross-industry, private, federal, state, and local",2022,880,17.5,2,$20.84,"$43,350",5.7,$14.86,$15.71,$17.45,$22.97,$30.89,"$30,900","$32,670","$36,300","$47,780","$64,240",Entry level and Non-tech
3,North Carolina,27-2011,Actors,0,"Cross-industry, private, federal, state, and local",2022,290,47.7,2,$31.39,*,27.3,$12.23,$24.46,$25.38,$26.81,$59.52,*,*,*,*,*,Non Entry level and Non-tech
4,North Carolina,47-2022,Stonemasons,0,"Cross-industry, private, federal, state, and local",2022,190,33.7,2,$21.40,"$44,500",5.7,$15.83,$17.18,$18.84,$23.18,$35.98,"$32,930","$35,740","$39,180","$48,220","$74,840",Entry level and Tech
5,North Carolina,35-2011,"Cooks, Fast Food",0,"Cross-industry, private, federal, state, and local",2022,"87,610",3.0,3,$11.29,"$23,490",1.2,$8.97,$10.13,$10.77,$12.76,$13.71,"$18,650","$21,070","$22,410","$26,540","$28,520",Entry level and Non-tech
6,North Carolina,53-3031,Driver/Sales Workers,0,"Cross-industry, private, federal, state, and local",2022,"13,720",10.7,3,$14.31,"$29,770",3.7,$7.76,$8.29,$10.03,$19.43,$23.90,"$16,130","$17,230","$20,860","$40,420","$49,710",Entry level and Non-tech
7,North Carolina,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,0,"Cross-industry, private, federal, state, and local",2022,"6,170",12.8,3,$12.23,"$25,440",2.3,$9.01,$10.03,$11.39,$13.53,$16.60,"$18,730","$20,860","$23,690","$28,140","$34,520",Entry level and Non-tech
8,North Carolina,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",0,"Cross-industry, private, federal, state, and local",2022,750,15.3,3,$20.46,"$42,560",4.6,$13.41,$16.24,$20.90,$22.10,$30.84,"$27,900","$33,790","$43,460","$45,970","$64,160",Non Entry level and Tech
9,North Carolina,27-2021,Athletes and Sports Competitors,0,"Cross-industry, private, federal, state, and local",2022,740,21.3,3,*,*,60.9,*,*,*,*,*,*,*,*,*,*,Non Entry level and Non-tech
10,North Carolina,39-5011,Barbers,0,"Cross-industry, private, federal, state, and local",2022,320,25.6,3,$20.59,"$42,830",18.8,$7.91,$7.93,$23.78,$27.64,$29.64,"$16,460","$16,490","$49,450","$57,500","$61,660",Entry level and Non-tech
11,North Carolina,45-2021,Animal Breeders,0,"Cross-industry, private, federal, state, and local",2022,120,49.6,3,$28.16,"$58,580",5.8,$19.98,$25.65,$28.90,$29.35,$35.30,"$41,560","$53,350","$60,110","$61,050","$73,430",Entry level and Tech
12,North Carolina,49-9081,Wind Turbine Service Technicians,0,"Cross-industry, private, federal, state, and local",2022,120,43.6,3,$33.08,"$68,810",2.2,$30.43,$30.52,$31.67,$35.44,$37.33,"$63,300","$63,480","$65,860","$73,720","$77,650",Non Entry level and Tech
13,North Carolina,17-2011,Aerospace Engineers,0,"Cross-industry, private, federal, state, and local",2022,*,21.2,4,$59.43,"$123,610",6.9,$36.50,$48.61,$64.60,$68.98,$68.98,"$75,910","$101,110","$134,360","$143,480","$143,480",Non Entry level and Tech
14,North Carolina,35-3031,Waiters and Waitresses,0,"Cross-industry, private, federal, state, and local",2022,"69,440",2.0,4,$13.41,"$27,890",2.4,$8.04,$8.63,$10.15,$15.01,$23.35,"$16,730","$17,950","$21,110","$31,220","$48,580",Entry level and Non-tech
15,North Carolina,35-2014,"Cooks, Restaurant",0,"Cross-industry, private, federal, state, and local",2022,"46,910",2.5,4,$14.78,"$30,730",1.2,$10.23,$12.96,$14.27,$16.99,$18.96,"$21,280","$26,960","$29,670","$35,340","$39,430",Entry level and Non-tech
16,North Carolina,35-2021,Food Preparation Workers,0,"Cross-industry, private, federal, state, and local",2022,"23,590",5.8,4,$13.48,"$28,050",1.5,$10.04,$11.16,$13.63,$14.63,$17.10,"$20,870","$23,220","$28,340","$30,430","$35,560",Non Entry level and Tech
17,North Carolina,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0,"Cross-industry, private, federal, state, and local",2022,"14,600",5.1,4,$11.09,"$23,070",1.8,$8.04,$9.42,$10.57,$12.81,$13.98,"$16,730","$19,600","$21,990","$26,640","$29,080",Entry level and Non-tech
18,North Carolina,35-9021,Dishwashers,0,"Cross-industry, private, federal, state, and local",2022,"10,960",6.4,4,$12.56,"$26,130",2.0,$9.32,$10.55,$12.49,$13.78,$16.26,"$19,390","$21,940","$25,980","$28,670","$33,820",Entry level and Non-tech
19,North Carolina,11-9141,"Property, Real Estate, and Community Association Managers",0,"Cross-industry, private, federal, state, and local",2022,"9,150",11.5,4,$63.05,"$131,150",18.0,$16.58,$22.10,$28.65,$46.13,*,"$34,480","$45,980","$59,600","$95,950",*,Entry level and Non-tech
20,North Carolina,13-2082,Tax Preparers,0,"Cross-industry, private, federal, state, and local",2022,"2,110",17.0,4,$26.19,"$54,480",5.9,$12.63,$13.99,$22.88,$36.17,$47.35,"$26,280","$29,100","$47,590","$75,220","$98,480",Non Entry level and Non-tech
21,North Carolina,39-5092,Manicurists and Pedicurists,0,"Cross-industry, private, federal, state, and local",2022,"1,620",7.0,4,$14.17,"$29,480",4.1,$7.70,$10.78,$14.01,$16.88,$19.34,"$16,020","$22,420","$29,140","$35,110","$40,230",Entry level and Non-tech
